epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,15688.5,0.65359,2.95128,0.24924,0.4038,1.08474,0.97167,0.97948,0.9913,0.90423,0.86545,0.83863,0.85643,0.71801,0.53341,1.84916,0.04734,0.26316,0.96679,0.005248,0.005248,0.005248
50,16006.5,0.64834,2.92123,0.24834,0.40477,1.08379,0.97253,0.97912,0.99134,0.9044,0.86774,0.83747,0.85725,0.71832,0.53289,1.84099,0.04677,0.26202,0.96647,0.005149,0.005149,0.005149
51,16323.1,0.64721,2.9343,0.24877,0.40575,1.08335,0.97203,0.97909,0.99127,0.90459,0.86909,0.83583,0.85743,0.71963,0.53187,1.83632,0.04638,0.2616,0.96587,0.00505,0.00505,0.00505
52,16639.1,0.64273,2.85506,0.24498,0.39871,1.0813,0.97197,0.97938,0.9913,0.90519,0.86983,0.83616,0.85774,0.72091,0.53013,1.83269,0.0459,0.26113,0.96463,0.004951,0.004951,0.004951
53,16955.9,0.64063,2.85937,0.24585,0.39669,1.07856,0.97256,0.98036,0.99127,0.90591,0.87011,0.8376,0.85844,0.72226,0.52858,1.82639,0.0456,0.26054,0.96342,0.004852,0.004852,0.004852
54,17272.3,0.64503,2.8896,0.24265,0.39945,1.08098,0.97337,0.97964,0.9913,0.90617,0.86901,0.83863,0.85787,0.72261,0.52763,1.82596,0.04524,0.25953,0.96246,0.004753,0.004753,0.004753
55,17588.6,0.63876,2.82722,0.24095,0.39707,1.08,0.97426,0.97929,0.99134,0.90669,0.8697,0.83777,0.85835,0.72392,0.52644,1.82324,0.04509,0.25899,0.96147,0.004654,0.004654,0.004654
56,17906.1,0.63591,2.80595,0.24343,0.3927,1.07798,0.97397,0.97938,0.99134,0.90706,0.87039,0.84114,0.85927,0.72507,0.52577,1.8161,0.04491,0.25819,0.96098,0.004555,0.004555,0.004555
57,18223.7,0.63241,2.80229,0.24053,0.38929,1.07372,0.97487,0.97888,0.99135,0.90725,0.86836,0.84148,0.85924,0.72609,0.52438,1.80942,0.04475,0.25762,0.95985,0.004456,0.004456,0.004456
58,18541,0.63149,2.8004,0.23991,0.39345,1.07552,0.97476,0.9792,0.99134,0.90746,0.86712,0.84247,0.85967,0.727,0.52356,1.80432,0.04477,0.2573,0.95934,0.004357,0.004357,0.004357
