epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,44.6155,0.89861,3.49788,0.29284,0.74651,1.20086,0.3842,0.28571,0.21328,0.15034,0.49191,0.07143,0.08696,0.02421,2.15652,8.28344,0.5746,3.36828,2.07265,0.000355368,0.000355368,0.000355368
80,45.1285,0.73982,2.7003,0.29592,0.59716,1.05045,0.3842,0.28571,0.21328,0.15034,0.49191,0.07143,0.08696,0.02421,2.15652,8.28344,0.5746,3.36828,2.07265,0.000344282,0.000344282,0.000344282
81,45.6879,0.68115,2.08349,0.24473,0.49601,0.9356,0.60691,0.28571,0.24361,0.13743,0.61249,0.14286,0.10574,0.03012,2.15821,7.93744,0.57599,3.52308,2.07638,0.0003328,0.0003328,0.0003328
82,46.2124,0.82484,2.09888,0.28463,0.5749,1.10477,0.60691,0.28571,0.24361,0.13743,0.61249,0.14286,0.10574,0.03012,2.15821,7.93744,0.57599,3.52308,2.07638,0.000320922,0.000320922,0.000320922
83,46.7304,0.71143,2.67679,0.32349,0.6153,0.99204,0.60691,0.28571,0.24361,0.13743,0.61249,0.14286,0.10574,0.03012,2.15821,7.93744,0.57599,3.52308,2.07638,0.000308648,0.000308648,0.000308648
84,47.2836,0.80738,2.52829,0.3029,0.63696,1.01654,0.65149,0.28571,0.28938,0.13298,0.29735,0.28571,0.13462,0.02263,2.23292,7.66592,0.57881,3.47754,2.1033,0.000295978,0.000295978,0.000295978
85,47.7951,0.68738,2.514,0.28877,0.43638,0.98145,0.65149,0.28571,0.28938,0.13298,0.29735,0.28571,0.13462,0.02263,2.23292,7.66592,0.57881,3.47754,2.1033,0.000282912,0.000282912,0.000282912
86,48.303,0.84462,2.84773,0.29156,0.6615,1.04051,0.65149,0.28571,0.28938,0.13298,0.29735,0.28571,0.13462,0.02263,2.23292,7.66592,0.57881,3.47754,2.1033,0.00026945,0.00026945,0.00026945
87,48.8043,0.62211,2.55936,0.25551,0.49799,0.92718,0.65149,0.28571,0.28938,0.13298,0.29735,0.28571,0.13462,0.02263,2.23292,7.66592,0.57881,3.47754,2.1033,0.000255592,0.000255592,0.000255592
88,49.3414,0.61775,1.7596,0.27157,0.42885,1.00108,0.56656,0.28571,0.3194,0.16355,0.3245,0.28571,0.13835,0.03053,2.20529,7.42925,0.57013,3.21907,2.06461,0.000241338,0.000241338,0.000241338
89,49.8616,0.90877,5.01683,0.32092,0.77581,1.12331,0.56656,0.28571,0.3194,0.16355,0.3245,0.28571,0.13835,0.03053,2.20529,7.42925,0.57013,3.21907,2.06461,0.000226688,0.000226688,0.000226688
90,50.3551,0.85762,3.27162,0.29667,0.73748,1.01025,0.56656,0.28571,0.3194,0.16355,0.3245,0.28571,0.13835,0.03053,2.20529,7.42925,0.57013,3.21907,2.06461,0.000211642,0.000211642,0.000211642
91,50.8762,0.55576,1.43751,0.21764,0.5131,0.80689,0.56656,0.28571,0.3194,0.16355,0.3245,0.28571,0.13835,0.03053,2.20529,7.42925,0.57013,3.21907,2.06461,0.0001962,0.0001962,0.0001962
92,51.4112,0.95665,1.57307,0.24185,0.59841,0.94763,0.63853,0.28571,0.31861,0.19344,0.24152,0.21429,0.12702,0.03808,2.12241,7.32431,0.56491,2.88577,2.01386,0.000180362,0.000180362,0.000180362
93,51.9402,0.55565,1.28743,0.21528,0.47781,0.90402,0.63853,0.28571,0.31861,0.19344,0.24152,0.21429,0.12702,0.03808,2.12241,7.32431,0.56491,2.88577,2.01386,0.000164128,0.000164128,0.000164128
94,52.4173,0.57462,1.2568,0.23815,0.51228,0.91298,0.63853,0.28571,0.31861,0.19344,0.24152,0.21429,0.12702,0.03808,2.12241,7.32431,0.56491,2.88577,2.01386,0.000147498,0.000147498,0.000147498
95,52.9145,0.65544,1.61762,0.24645,0.47832,0.95066,0.63853,0.28571,0.31861,0.19344,0.24152,0.21429,0.12702,0.03808,2.12241,7.32431,0.56491,2.88577,2.01386,0.000130472,0.000130472,0.000130472
96,53.4105,0.56791,1.46557,0.24874,0.5007,0.83815,0.62483,0.28571,0.36465,0.20966,0.38634,0.28571,0.22035,0.05316,2.03887,7.23332,0.56224,2.6517,1.98966,0.00011305,0.00011305,0.00011305
97,53.9166,0.85036,1.68759,0.256,0.63351,1.0238,0.62483,0.28571,0.36465,0.20966,0.38634,0.28571,0.22035,0.05316,2.03887,7.23332,0.56224,2.6517,1.98966,9.5232e-05,9.5232e-05,9.5232e-05
98,54.383,0.50606,1.13101,0.21857,0.4428,0.83043,0.62483,0.28571,0.36465,0.20966,0.38634,0.28571,0.22035,0.05316,2.03887,7.23332,0.56224,2.6517,1.98966,7.7018e-05,7.7018e-05,7.7018e-05
99,54.8678,0.61176,1.17764,0.23858,0.45075,0.84258,0.62483,0.28571,0.36465,0.20966,0.38634,0.28571,0.22035,0.05316,2.03887,7.23332,0.56224,2.6517,1.98966,5.8408e-05,5.8408e-05,5.8408e-05
100,55.3673,0.5059,1.14852,0.22796,0.43624,0.95055,0.63075,0.28571,0.39353,0.2362,0.37864,0.28571,0.23367,0.06135,1.95289,7.10935,0.55396,2.47021,1.93301,3.9402e-05,3.9402e-05,3.9402e-05
